city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Düzce,40.8417,31.1583,Turkey,TR,Düzce,admin,240633,240633
Niğde,37.9667,34.6792,Turkey,TR,Niğde,admin,224289,224289
Bolu,40.7333,31.6000,Turkey,TR,Bolu,admin,205525,205525
Tokat,40.3097,36.5542,Turkey,TR,Tokat,admin,201294,201294
Kırıkkale,39.8417,33.5139,Turkey,TR,Kırıkkale,admin,196645,196645
Viranşehir,37.2306,39.7653,Turkey,TR,Şanlıurfa,minor,195910,195910
Karaman,37.1833,33.2167,Turkey,TR,Karaman,admin,194018,194018
Muş,38.7333,41.4911,Turkey,TR,Muş,admin,193394,193394
Aydın,37.8481,27.8453,Turkey,TR,Aydın,admin,191037,191037
Çanakkale,40.1500,26.4000,Turkey,TR,Çanakkale,admin,180823,180823
Edirne,41.6781,26.5594,Turkey,TR,Edirne,admin,180327,180327
Torbalı,38.1619,27.3583,Turkey,TR,İzmir,minor,178772,178772
Ereğli,41.2583,31.4250,Turkey,TR,Zonguldak,minor,175605,175605
Menemen,38.6000,27.0667,Turkey,TR,İzmir,minor,174564,174564
Siirt,37.8417,41.9458,Turkey,TR,Siirt,admin,166332,166332
Körfez,40.7706,29.7661,Turkey,TR,Kocaeli,minor,165503,165503
Turgutlu,38.5000,27.7000,Turkey,TR,Manisa,minor,163223,163223
Gölcük,40.6667,29.8333,Turkey,TR,Kocaeli,minor,162584,162584
Salihli,38.4811,28.1392,Turkey,TR,Manisa,minor,161562,161562
Bingöl,38.8861,40.5017,Turkey,TR,Bingöl,admin,160165,160165
Fethiye,36.6206,29.1142,Turkey,TR,Muğla,minor,157745,157745
Talas,38.6833,35.5667,Turkey,TR,Kayseri,minor,157695,157695
Erzincan,39.7464,39.4914,Turkey,TR,Erzincan,admin,157452,157452
Zonguldak,41.4304,31.7800,Turkey,TR,Zonguldak,admin,156918,100229
Nazilli,37.9125,28.3206,Turkey,TR,Aydın,minor,156748,156748
Ordu,40.9833,37.8833,Turkey,TR,Ordu,admin,155117,116788
Bartın,41.6344,32.3375,Turkey,TR,Bartın,admin,155016,155016
Bandırma,40.3542,27.9725,Turkey,TR,Balıkesir,minor,154359,154359
Kırşehir,39.1450,34.1608,Turkey,TR,Kırşehir,admin,153511,153511
Ağrı,39.7225,43.0544,Turkey,TR,Ağrı,admin,149188,149188
Amasya,40.6500,35.8333,Turkey,TR,Amasya,admin,149084,149084
Kastamonu,41.3833,33.7833,Turkey,TR,Kastamonu,admin,148931,148931
Lüleburgaz,41.4056,27.3569,Turkey,TR,Kırklareli,minor,148037,148037
Ereğli,37.5058,34.0517,Turkey,TR,Konya,minor,145389,145389
Yalova,40.6556,29.2750,Turkey,TR,Yalova,admin,144407,144407
Nevşehir,38.6250,34.7122,Turkey,TR,Nevşehir,admin,143194,143194
Cizre,37.3250,42.1958,Turkey,TR,Şırnak,minor,143124,143124
Nizip,37.0104,37.7985,Turkey,TR,Gaziantep,minor,142389,142389
Rize,41.0167,40.5167,Turkey,TR,Rize,admin,141143,141143
Iğdır,39.9167,44.0333,Turkey,TR,Iğdır,admin,137613,137613
Giresun,40.9000,38.4167,Turkey,TR,Giresun,admin,135920,135920
Ödemiş,38.2311,27.9719,Turkey,TR,İzmir,minor,132511,132511
Karabük,41.2000,32.6333,Turkey,TR,Karabük,admin,131989,131989
Kozan,37.4507,35.8123,Turkey,TR,Adana,minor,130495,130495
Çayırova,40.8265,29.3745,Turkey,TR,Kocaeli,minor,129655,129655
Ünye,41.1271,37.2882,Turkey,TR,Ordu,minor,126702,126702
Polatlı,39.5842,32.1472,Turkey,TR,Ankara,minor,125075,125075
Kadirli,37.3739,36.0961,Turkey,TR,Osmaniye,minor,124053,124053
Patnos,39.2358,42.8686,Turkey,TR,Ağrı,minor,122833,122833
Doğubayazıt,39.5500,44.0833,Turkey,TR,Ağrı,minor,121263,121263
Samandağ,36.0850,35.9806,Turkey,TR,Hatay,minor,121109,121109
Kapaklı,41.3333,27.9667,Turkey,TR,Tekirdağ,minor,116882,116882
Kilis,36.7167,37.1167,Turkey,TR,Kilis,admin,116034,116034
Kuşadası,37.8586,27.2594,Turkey,TR,İzmir,minor,113580,113580
Akçakale,36.7108,38.9478,Turkey,TR,Şanlıurfa,minor,113194,113194
Burdur,37.7167,30.2833,Turkey,TR,Burdur,admin,113077,113077
Kars,40.6069,43.0931,Turkey,TR,Kars,admin,112260,112260
Soma,39.1833,27.6056,Turkey,TR,Manisa,minor,108981,108981
Kemalpaşa,38.4261,27.4172,Turkey,TR,İzmir,minor,106298,106298
Nusaybin,37.0833,41.2167,Turkey,TR,Mardin,minor,105856,105856
Yozgat,39.8208,34.8083,Turkey,TR,Yozgat,admin,105167,105167
Bergama,39.1228,27.1783,Turkey,TR,İzmir,minor,103185,103185
Kırklareli,41.7347,27.2253,Turkey,TR,Kırklareli,admin,102909,102909
Reyhanlı,36.2692,36.5672,Turkey,TR,Hatay,minor,98534,98534
Bafra,41.5682,35.9069,Turkey,TR,Samsun,minor,97452,92944
Çankırı,40.6000,33.6167,Turkey,TR,Çankırı,admin,96025,96025
Aliağa,38.7998,26.9720,Turkey,TR,İzmir,minor,95392,95392
Marmaris,36.8564,28.2711,Turkey,TR,Muğla,minor,94247,94247
Menderes,38.2540,27.1340,Turkey,TR,İzmir,minor,93796,93796
Şırnak,37.5164,42.4611,Turkey,TR,Şırnak,admin,93431,93431
Ceylanpınar,36.9194,39.9050,Turkey,TR,Şanlıurfa,minor,87684,87684
Mardin,37.3167,40.7378,Turkey,TR,Mardin,admin,86948,86948
Tire,38.0833,27.7333,Turkey,TR,İzmir,minor,84457,84457
Bilecik,40.1431,29.9792,Turkey,TR,Bilecik,admin,81723,81723
Hakkari,37.5744,43.7408,Turkey,TR,Hakkâri,admin,81424,81424
Söke,37.7512,27.4103,Turkey,TR,Aydın,minor,77341,68230
Çınar,37.7256,40.4147,Turkey,TR,Diyarbakır,minor,74207,74207
Tatvan,38.5066,42.2816,Turkey,TR,Bitlis,minor,73222,63651
Bitlis,38.4000,42.1167,Turkey,TR,Bitlis,admin,71501,71501
İslahiye,37.0264,36.6322,Turkey,TR,Gaziantep,minor,67674,67674
Bayburt,40.2546,40.2260,Turkey,TR,Bayburt,admin,66633,66633
Urla,38.3222,26.7647,Turkey,TR,İzmir,minor,66360,66360
Bucak,37.4592,30.5950,Turkey,TR,Burdur,minor,64943,64943
Sinop,42.0267,35.1511,Turkey,TR,Sinop,admin,64544,64544
Çaldıran,39.1419,43.9139,Turkey,TR,Van,minor,63013,63013
Mut,36.6458,33.4375,Turkey,TR,Mersin,minor,62853,62853
Derik,37.3644,40.2689,Turkey,TR,Mardin,minor,61830,61830
Uzunköprü,41.2669,26.6875,Turkey,TR,Edirne,minor,61485,61485
Bor,37.8833,34.5667,Turkey,TR,Niğde,minor,60335,60335
Kaş,36.2018,29.6377,Turkey,TR,Antalya,minor,58600,58600
Gümüşhane,40.4597,39.4778,Turkey,TR,Gümüşhane,admin,57269,57269
Muğla,37.2167,28.3667,Turkey,TR,Muğla,admin,56619,56619
Hassa,36.8000,36.5300,Turkey,TR,Hatay,minor,56409,56409
Kulu,39.0901,33.0807,Turkey,TR,Konya,minor,50667,50667
Kozlu,41.4333,31.7500,Turkey,TR,Zonguldak,minor,48381,48381
Beypazarı,40.1703,31.9211,Turkey,TR,Ankara,minor,48274,48274
Finike,36.3000,30.1500,Turkey,TR,Antalya,minor,48131,48131
Haymana,39.4311,32.4956,Turkey,TR,Ankara,minor,45931,45931
Yatağan,37.3425,28.1393,Turkey,TR,Muğla,minor,44940,44940
Seferhisar,38.1975,26.8388,Turkey,TR,İzmir,minor,44526,44526
Dikili,39.0710,26.8902,Turkey,TR,İzmir,minor,44172,44172
Of,40.9450,40.2644,Turkey,TR,Trabzon,minor,43499,43499
Çeşme,38.3200,26.3053,Turkey,TR,İzmir,minor,43489,43489
Kemer,36.6000,30.5500,Turkey,TR,Antalya,minor,43226,43226
Ardahan,41.1167,42.7000,Turkey,TR,Ardahan,admin,42226,42226
Yakacık,36.7500,36.2167,Turkey,TR,Hatay,minor,41409,41409
Erzin,36.9539,36.2022,Turkey,TR,Hatay,minor,41368,41368
Bayındır,38.2192,27.6481,Turkey,TR,İzmir,minor,40584,40584
Tunceli,39.1061,39.5481,Turkey,TR,Tunceli,admin,38504,38504
Emirdağ,39.0197,31.1500,Turkey,TR,Afyonkarahisar,minor,37817,37817
Selçuk,37.9500,27.3667,Turkey,TR,İzmir,minor,36360,36360
Gürpınar,38.3269,43.4133,Turkey,TR,Van,minor,35663,35663
Yayladağı,35.9025,36.0603,Turkey,TR,Hatay,minor,35460,35460
Kilimli,41.4833,31.8333,Turkey,TR,Zonguldak,minor,35323,35323
Artvin,41.1822,41.8194,Turkey,TR,Artvin,admin,35081,35081
Ayvacık,39.6011,26.4047,Turkey,TR,Çanakkale,minor,33568,33568
Belen,36.4917,36.1917,Turkey,TR,Hatay,minor,33540,33540
Sarıkaya,39.4936,35.3769,Turkey,TR,Yozgat,minor,33010,33010
Kınık,39.0872,27.3833,Turkey,TR,İzmir,minor,29803,29803
Nallıhan,40.1859,31.3508,Turkey,TR,Ankara,minor,28091,28091
Havran,39.5583,27.0983,Turkey,TR,Balıkesir,minor,27741,27741
İpsala,40.9181,26.3831,Turkey,TR,Edirne,minor,27498,27498
Pınarbaşı,38.7220,36.3910,Turkey,TR,Kayseri,minor,26911,26911
Maçka,40.8186,39.6136,Turkey,TR,Trabzon,minor,26626,26626
Lice,38.4549,40.6519,Turkey,TR,Diyarbakır,minor,26163,26163
Marmara Ereğlisi,40.9697,27.9553,Turkey,TR,Tekirdağ,minor,25873,25873
Hasköy,38.6864,41.6936,Turkey,TR,Muş,minor,25749,25749
Ayancık,41.9500,34.5833,Turkey,TR,Sinop,minor,23720,23720
Gökçebey,41.3133,32.1497,Turkey,TR,Zonguldak,minor,21655,21655
Yenice,41.2000,32.3333,Turkey,TR,Karabük,minor,21625,21625
Arhavi,41.3531,41.3100,Turkey,TR,Artvin,minor,20565,20565
Toprakkale,37.0639,36.1469,Turkey,TR,Osmaniye,minor,20127,20127
Fındıklı,41.1333,41.0167,Turkey,TR,Rize,minor,16902,16902
Bayat,40.6460,34.2610,Turkey,TR,Çorum,minor,16525,16525
Divriği,39.3667,38.1167,Turkey,TR,Sivas,minor,16377,16377
Sultandağı,38.5333,31.2333,Turkey,TR,Afyonkarahisar,minor,15076,15076
Çiçekdağı,39.6036,34.4158,Turkey,TR,Kırşehir,minor,14735,14735
Pazar,40.2759,36.2832,Turkey,TR,Tokat,minor,14335,14335
Eynesil,41.0500,39.1333,Turkey,TR,Giresun,minor,13955,13955
Ulubey,38.4216,29.2895,Turkey,TR,Uşak,minor,12955,12955
Beydağ,38.0869,28.2089,Turkey,TR,Kayseri,minor,12507,12507
Ardanuç,41.1233,42.0647,Turkey,TR,Artvin,minor,12056,12056
Erfelek,41.8793,34.9184,Turkey,TR,Sinop,minor,12049,12049
Çüngüş,38.2122,39.2884,Turkey,TR,Diyarbakır,minor,11927,11927
Aydıncık,36.1667,33.3500,Turkey,TR,Mersin,minor,11088,11088
Akyaka,40.7397,43.6253,Turkey,TR,Kars,minor,10985,10985
Sultanhanı,38.2481,33.5465,Turkey,TR,Aksaray,minor,10884,10884
Karkamış,36.8345,37.9983,Turkey,TR,Gaziantep,minor,10436,10436
Eceabat,40.1842,26.3575,Turkey,TR,Çanakkale,minor,8912,8912
Ovacık,39.3586,39.2164,Turkey,TR,Tunceli,minor,6998,6998
Yeniceoba,38.8708,32.7919,Turkey,TR,Konya,minor,6872,6872
Süleymanlı,37.8769,36.8253,Turkey,TR,Kahramanmaraş,minor,459,459
Mahmutbey,41.0536,28.8256,Turkey,TR,İstanbul,minor,,
Küçükçekmece,40.9960,28.7748,Turkey,TR,İstanbul,minor,,
Kartal,40.9019,29.1737,Turkey,TR,İstanbul,minor,,
Buca,38.3983,27.1666,Turkey,TR,İzmir,minor,,
Konak,38.4173,27.1302,Turkey,TR,İzmir,minor,,
Etimesgut,39.9533,32.6328,Turkey,TR,Ankara,minor,,
Samandıra,40.9990,29.2257,Turkey,TR,İstanbul,minor,,
Keçiören,40.0067,32.8562,Turkey,TR,Ankara,minor,,
Pursaklar,40.0320,32.8953,Turkey,TR,Ankara,minor,,
Çankaya,39.8875,32.8567,Turkey,TR,Ankara,minor,,
Altındağ,39.9477,32.8639,Turkey,TR,Ankara,minor,,
Karşıyaka,38.4573,27.1106,Turkey,TR,İzmir,minor,,
Melikgazi,38.7500,35.4500,Turkey,TR,Kayseri,minor,,
Gaziemir,38.3239,27.1292,Turkey,TR,İzmir,minor,,
Sarıyer,41.1667,29.0500,Turkey,TR,İstanbul,minor,,
Pendik,40.8775,29.2725,Turkey,TR,İstanbul,minor,,
Kemerburgaz,41.1590,28.9157,Turkey,TR,İstanbul,minor,,
Mamak,39.9404,32.9101,Turkey,TR,Ankara,minor,,
Bornova,38.4792,27.2399,Turkey,TR,İzmir,minor,,
Çağlayan,40.9002,39.7123,Turkey,TR,Trabzon,minor,,
Kazanlı,36.8156,34.7576,Turkey,TR,Mersin,minor,,
Sincan,39.9723,32.5841,Turkey,TR,Ankara,minor,,
Burç,37.0136,37.1791,Turkey,TR,Gaziantep,minor,,
Yenimahalle,39.9583,32.7552,Turkey,TR,Ankara,minor,,
Yenice,36.9667,35.0500,Turkey,TR,Mersin,minor,,
Seyhan,36.9875,35.3059,Turkey,TR,Adana,minor,,
Adalar,40.8678,29.1331,Turkey,TR,İstanbul,minor,,
Büyükçekmece,41.0128,28.5382,Turkey,TR,İstanbul,minor,,
Yumurtalık,36.7667,35.7833,Turkey,TR,Adana,minor,,
Hadımköy,41.1559,28.6177,Turkey,TR,İstanbul,minor,,
Beykoz,41.1439,29.0906,Turkey,TR,İstanbul,minor,,
Mahmut Şevket Paşa,41.1528,29.1897,Turkey,TR,İstanbul,minor,,
Yolboyu,37.8976,40.0009,Turkey,TR,Diyarbakır,minor,,
Kayapınar,37.9373,40.1776,Turkey,TR,Diyarbakır,minor,,
Bağlar,37.9137,40.2058,Turkey,TR,Diyarbakır,minor,,
Yenişehir,37.9415,40.1380,Turkey,TR,Diyarbakır,minor,,
Darıca,40.7797,29.3945,Turkey,TR,Kocaeli,minor,,
Değirmendere,40.7200,29.7808,Turkey,TR,Kocaeli,minor,,
Yıldırım,40.2112,29.1391,Turkey,TR,Bursa,minor,,
Erenler,40.7550,30.3934,Turkey,TR,Sakarya,minor,,
Kazımpaşa,40.7916,30.2950,Turkey,TR,Sakarya,minor,,
Serdivan,40.7738,30.3801,Turkey,TR,Sakarya,minor,,
Sur,37.9135,40.2286,Turkey,TR,Diyarbakır,minor,,
Derince,40.7569,29.8147,Turkey,TR,Kocaeli,minor,,
Tillo,37.9449,42.0072,Turkey,TR,Siirt,minor,,
Kabadüz,40.8610,37.8847,Turkey,TR,Ordu,minor,,
Uzunisa,40.9147,37.8482,Turkey,TR,Ordu,minor,,
Arsuz,36.4131,35.8903,Turkey,TR,Hatay,minor,,
Gündoğdu,41.0532,40.6066,Turkey,TR,Rize,minor,,
Akmeşe,40.8493,30.1982,Turkey,TR,Kocaeli,minor,,
Keskin,39.6731,33.6136,Turkey,TR,Kırıkkale,minor,,
Serinyol,36.3614,36.2136,Turkey,TR,Hatay,minor,,
Harbiye,36.1167,36.1333,Turkey,TR,Hatay,minor,,
Hıdırbey,36.2080,36.1279,Turkey,TR,Hatay,minor,,
Şenköy,36.0484,36.1437,Turkey,TR,Hatay,minor,,
Nilüfer,40.2843,28.9504,Turkey,TR,Bursa,minor,,
Çalı,40.1686,28.9208,Turkey,TR,Bursa,minor,,
Demirtaş,40.2719,29.0983,Turkey,TR,Bursa,minor,,
Görükle,40.2311,28.8402,Turkey,TR,Bursa,minor,,
Osmangazi,40.2259,29.0439,Turkey,TR,Bursa,minor,,
Gebze,40.8028,29.4307,Turkey,TR,Kocaeli,minor,,
Mollafeneri,40.8861,29.4944,Turkey,TR,Kocaeli,minor,,
Şahinbey,37.0484,37.3437,Turkey,TR,Gaziantep,minor,,
Şehitkamil,37.0796,37.3800,Turkey,TR,Gaziantep,minor,,
Kaypak,37.1149,36.4651,Turkey,TR,Osmaniye,minor,,
Yarpuz,37.0482,36.4307,Turkey,TR,Osmaniye,minor,,
Çolaklı,38.3335,38.5195,Turkey,TR,Malatya,minor,,
Kılıç,40.6342,29.3933,Turkey,TR,Yalova,minor,,
Derecik,40.9459,39.5940,Turkey,TR,Trabzon,minor,,
Büyükderbent,40.7075,30.1143,Turkey,TR,Kocaeli,minor,,
Davutlar,37.7333,27.3000,Turkey,TR,Aydın,minor,,
Umurlu,37.8500,27.9667,Turkey,TR,Aydın,minor,,
Karaçay,36.1355,36.0774,Turkey,TR,Hatay,minor,,
Çiftlikköy,40.6603,29.3236,Turkey,TR,Yalova,minor,,
Hereke,40.7861,29.6147,Turkey,TR,Kocaeli,minor,,
Çerkezköy,41.2850,28.0003,Turkey,TR,Tekirdağ,minor,,
Karaoğlanlı,38.5292,27.5667,Turkey,TR,Manisa,minor,,
Üçpınar,38.7342,27.3616,Turkey,TR,Manisa,minor,,
Muradiye,38.6603,27.3384,Turkey,TR,Manisa,minor,,
Osmancalı,38.7625,27.2531,Turkey,TR,Manisa,minor,,
Bahçecik,40.6681,29.9148,Turkey,TR,Kocaeli,minor,,
Alaplı,41.1814,31.3851,Turkey,TR,Zonguldak,minor,,
Beycuma,41.3281,31.9681,Turkey,TR,Zonguldak,minor,,
Çayırkent,41.1713,36.3288,Turkey,TR,Samsun,minor,,
Aşağıpınarbaşı,38.0383,32.6008,Turkey,TR,Konya,minor,,
Selçuklu,37.8842,32.4922,Turkey,TR,Konya,minor,,
Sille,37.9333,32.4167,Turkey,TR,Konya,minor,,
Beyazköy,41.3483,27.7039,Turkey,TR,Tekirdağ,minor,,
Çatalpınar,40.8790,37.4535,Turkey,TR,Ordu,minor,,
Perşembe,41.4187,32.1598,Turkey,TR,Zonguldak,minor,,
Çaycuma,41.4264,32.0756,Turkey,TR,Zonguldak,minor,,
Gemlik,40.4309,29.1597,Turkey,TR,Bursa,minor,,
Bolaman,41.0343,37.5941,Turkey,TR,Ordu,minor,,
Fatsa,41.0278,37.5014,Turkey,TR,Ordu,minor,,
Gözne,36.9953,34.5731,Turkey,TR,Mersin,minor,,
Arslanköy,37.0188,34.2874,Turkey,TR,Mersin,minor,,
Mezitli,36.7454,34.5226,Turkey,TR,Mersin,minor,,
Kuzucubelen,36.8400,34.4376,Turkey,TR,Mersin,minor,,
Filyos,41.5538,32.0239,Turkey,TR,Zonguldak,minor,,
Dörtyol,36.8392,36.2303,Turkey,TR,Hatay,minor,,
Timar,38.8286,43.4333,Turkey,TR,Van,minor,,
Erçek,38.6511,43.6440,Turkey,TR,Van,minor,,
Akçaabat,41.0212,39.5715,Turkey,TR,Trabzon,minor,,
Pazar,41.1792,40.8842,Turkey,TR,Rize,minor,,
Oğuz,37.8149,41.3742,Turkey,TR,Batman,minor,,
Aksakal,40.1473,28.1068,Turkey,TR,Balıkesir,minor,,
Edincik,40.3423,27.8613,Turkey,TR,Balıkesir,minor,,
Derepazarı,41.0240,40.4233,Turkey,TR,Rize,minor,,
Arifiye,40.7004,30.3508,Turkey,TR,Sakarya,minor,,
Sapanca,40.6914,30.2674,Turkey,TR,Sakarya,minor,,
Konakpınar,39.4339,27.8362,Turkey,TR,Balıkesir,minor,,
Ertuğrul,39.5758,27.7067,Turkey,TR,Balıkesir,minor,,
Yeniköy,39.7787,28.0030,Turkey,TR,Balıkesir,minor,,
Şamlı,39.8118,27.8456,Turkey,TR,Balıkesir,minor,,
Ömerli,37.3990,40.9544,Turkey,TR,Mardin,minor,,
Silivri,41.0739,28.2464,Turkey,TR,İstanbul,minor,,
Sinekli,41.2280,28.1904,Turkey,TR,İstanbul,minor,,
Söğütpınar,40.3379,28.6494,Turkey,TR,Bursa,minor,,
Zeytinbağı,40.3908,28.7964,Turkey,TR,Bursa,minor,,
Mudanya,40.3753,28.8822,Turkey,TR,Bursa,minor,,
Himmetdede,38.9103,35.0961,Turkey,TR,Kayseri,minor,,
Gesi,38.7918,35.6592,Turkey,TR,Kayseri,minor,,
Kocasinan,38.7715,35.5725,Turkey,TR,Kayseri,minor,,
Güneşli,38.9025,35.6274,Turkey,TR,Kayseri,minor,,
Erkilet,38.8204,35.4401,Turkey,TR,Kayseri,minor,,
Dağkızılca,38.3110,27.3908,Turkey,TR,İzmir,minor,,
Çarşıbaşı,41.0828,39.3828,Turkey,TR,Trabzon,minor,,
Silopi,37.2438,42.4634,Turkey,TR,Şırnak,minor,,
Tahtaköprü,39.9500,29.6500,Turkey,TR,Bursa,minor,,
Çamlıdere,37.1544,39.0670,Turkey,TR,Şanlıurfa,minor,,
Payamlı,37.0365,38.6134,Turkey,TR,Şanlıurfa,minor,,
Yardımcı,37.0209,39.0053,Turkey,TR,Şanlıurfa,minor,,
Kabahaydar,37.3134,39.0100,Turkey,TR,Şanlıurfa,minor,,
Karaköprü,37.2036,38.7994,Turkey,TR,Şanlıurfa,minor,,
Akköy,37.4914,27.2694,Turkey,TR,Aydın,minor,,
Didim,37.3756,27.2678,Turkey,TR,Aydın,minor,,
Turgutreis,37.0049,27.2595,Turkey,TR,Muğla,minor,,
Karaova,37.1070,27.6658,Turkey,TR,Muğla,minor,,
Ortyakent Yahşi,37.0494,27.3483,Turkey,TR,Muğla,minor,,
Bodrum,37.0383,27.4292,Turkey,TR,Muğla,minor,,
Yenifoça,38.7333,26.8333,Turkey,TR,İzmir,minor,,
Foça,38.6675,26.7581,Turkey,TR,İzmir,minor,,
Orhangazi,40.4892,29.3089,Turkey,TR,Bursa,minor,,
Yakakent,41.6325,35.5289,Turkey,TR,Samsun,minor,,
İyidere,41.0119,40.3618,Turkey,TR,Rize,minor,,
Tekkiraz,40.9859,37.1603,Turkey,TR,Ordu,minor,,
Dikbıyık,41.2208,36.6150,Turkey,TR,Samsun,minor,,
Çarşamba,41.1989,36.7219,Turkey,TR,Samsun,minor,,
Ormanlı,41.1647,31.6142,Turkey,TR,Zonguldak,minor,,
Mollakendi,38.5773,39.3329,Turkey,TR,Elazığ,minor,,
Harput,38.7037,39.2415,Turkey,TR,Elazığ,minor,,
İçme,38.6126,39.5513,Turkey,TR,Elazığ,minor,,
Hıdırbaba,38.7671,38.9770,Turkey,TR,Elazığ,minor,,
Hankendi,38.5688,39.0574,Turkey,TR,Elazığ,minor,,
Poyraz,38.6860,39.0230,Turkey,TR,Elazığ,minor,,
Hatunsaray,37.5875,32.3480,Turkey,TR,Konya,minor,,
Meram,37.8299,32.4678,Turkey,TR,Konya,minor,,
Hatip,37.7545,32.4222,Turkey,TR,Konya,minor,,
Kızılören,37.8685,32.1162,Turkey,TR,Konya,minor,,
Beşikdüzü,41.0520,39.2329,Turkey,TR,Trabzon,minor,,
Kuyucak,37.9133,28.4592,Turkey,TR,Aydın,minor,,
Güre,38.6511,29.1669,Turkey,TR,Uşak,minor,,
Yenicekale,37.5987,36.6326,Turkey,TR,Kahramanmaraş,minor,,
Sırpsındığı,41.7812,26.4789,Turkey,TR,Edirne,minor,,
Karakasım,41.5172,26.6438,Turkey,TR,Edirne,minor,,
Espiye,40.9470,38.7030,Turkey,TR,Giresun,minor,,
Emiralem,38.6097,27.1459,Turkey,TR,İzmir,minor,,
Çakırlar,36.8714,30.5621,Turkey,TR,Antalya,minor,,
Türkoğlu,37.3865,36.8426,Turkey,TR,Kahramanmaraş,minor,,
Şambayat,37.6844,38.0468,Turkey,TR,Adıyaman,minor,,
Bağpınar,37.5914,38.3191,Turkey,TR,Adıyaman,minor,,
Kuyucak,37.8631,38.3437,Turkey,TR,Adıyaman,minor,,
Akpınar,37.5739,38.2208,Turkey,TR,Adıyaman,minor,,
Koçali,37.9231,38.2579,Turkey,TR,Adıyaman,minor,,
Hekimdağ,39.9090,30.5646,Turkey,TR,Eskişehir,minor,,
Burhaniye,39.5004,26.9727,Turkey,TR,Balıkesir,minor,,
Ortaca,36.8391,28.7646,Turkey,TR,Muğla,minor,,
İncirliova,37.8522,27.7236,Turkey,TR,Aydın,minor,,
Yeşilyurt,38.2960,38.2453,Turkey,TR,Malatya,minor,,
İkizce,41.0583,37.0803,Turkey,TR,Ordu,minor,,
